date_hour,lat,long,signal,network,operator,status,description,net,speed,satellites,precission,provider,activity,downloadSpeed,uploadSpeed,postal_code,town_name,position_geom,SHAPE
2017-12-10 13:03:12,41.29152,2.07456,10,simyo 3g,simyo,0,STATE_IN_SERVICE,,0.2,10.0,15.0,gps,STILL,0.0,0.0,81691.0,el Prat de Llobregat,POINT(2.07456 41.29152),"{'spatialReference': {'wkid': 4326}, 'x': 2.07456, 'y': 41.29152}"
2017-12-10 00:35:22,41.49925,2.34666,17,orange,Orange,0,STATE_IN_SERVICE,,0.6,5.0,7.0,gps,STILL,0.0,0.0,82303.0,Premià de Dalt,POINT(2.34666 41.49925),"{'spatialReference': {'wkid': 4326}, 'x': 2.34666, 'y': 41.49925}"
2017-12-10 12:14:37,41.61012,2.08711,3,movistar,Movistar,0,STATE_IN_SERVICE,2G,0.0,3.0,48.0,gps,STILL,0.0,0.0,80517.0,Castellar del Vallès,POINT(2.08711 41.61012),"{'spatialReference': {'wkid': 4326}, 'x': 2.08711, 'y': 41.61012}"
2017-12-10 12:15:11,41.61065,2.08791,3,movistar,Movistar,0,STATE_IN_SERVICE,2G,9.3,2.0,128.0,gps,STILL,0.0,0.0,80517.0,Castellar del Vallès,POINT(2.08791 41.61065),"{'spatialReference': {'wkid': 4326}, 'x': 2.08791, 'y': 41.61065}"
2017-12-10 09:47:15,42.12258,2.34321,7,orange,Orange SP,0,STATE_IN_SERVICE,2G,0.5,1.0,25.0,gps,STILL,0.0,0.0,172121.0,Vidrà,POINT(2.34321 42.12258),"{'spatialReference': {'wkid': 4326}, 'x': 2.34321, 'y': 42.12258}"
2017-12-10 12:18:22,41.38603,2.13954,5,vodafone,vodafone ES,0,STATE_IN_SERVICE,2G,0.4,3.0,18.0,gps,STILL,0.0,0.0,80193.0,Barcelona,POINT(2.13954 41.38603),"{'spatialReference': {'wkid': 4326}, 'x': 2.13954, 'y': 41.38603}"
2017-12-10 11:53:44,41.38576,2.13986,31,vodafone,vodafone ES,0,STATE_IN_SERVICE,2G,0.3,3.0,25.0,gps,STILL,0.0,0.0,80193.0,Barcelona,POINT(2.13986 41.38576),"{'spatialReference': {'wkid': 4326}, 'x': 2.13986, 'y': 41.38576}"
2017-12-10 13:26:46,41.69102,2.37171,7,movistar,Movistar,2,STATE_EMERGENCY_ONLY,2G,17.8,4.0,22.0,gps,STILL,0.0,0.0,82346.0,Sant Pere de Vilamajor,POINT(2.37171 41.69102),"{'spatialReference': {'wkid': 4326}, 'x': 2.37171, 'y': 41.69102}"
2017-12-10 20:40:40,42.12298,2.34282,7,orange,Orange SP,2,STATE_EMERGENCY_ONLY,2G,7.6,11.0,25.0,gps,ON_FOOT,0.0,0.0,172121.0,Vidrà,POINT(2.34282 42.12298),"{'spatialReference': {'wkid': 4326}, 'x': 2.34282, 'y': 42.12298}"
2017-12-10 09:02:50,41.55862,2.09647,14,movistar,Movistar,2,STATE_EMERGENCY_ONLY,2G,0.3,1.0,24.0,gps,UNKNOWN,0.0,0.0,81878.0,Sabadell,POINT(2.09647 41.55862),"{'spatialReference': {'wkid': 4326}, 'x': 2.09647, 'y': 41.55862}"
